Brooklyn Nets,Indiana Pacers,2016-03-26 06:00:00,0,Local
Miami Heat,Brooklyn Nets,2016-03-28 07:30:00,0,Local
Orlando Magic,Brooklyn Nets,2016-03-29 07:00:00,0,Local
Cleveland Cavaliers,Brooklyn Nets,2016-03-31 07:00:00,0,Local
New York Knicks,Brooklyn Nets,2016-04-01 07:30:00,0,Local
Brooklyn Nets,New Orleans Pelicans,2016-04-03 01:00:00,0,Local
Washington Wizards,Brooklyn Nets,2016-04-06 07:00:00,0,Local
Charlotte Hornets,Brooklyn Nets,2016-04-08 07:00:00,0,Local
Indiana Pacers,Brooklyn Nets,2016-04-10 06:00:00,0,Local
Brooklyn Nets,Washington Wizards,2016-04-11 07:30:00,0,Local
Brooklyn Nets,Toronto Raptors,2016-04-13 08:00:00,0,Local
Toronto Raptors,Indiana Pacers,2015-10-28 07:30:00,0,Local
Boston Celtics,Toronto Raptors,2015-10-30 07:30:00,0,Local
Toronto Raptors,Milwaukee Bucks,2015-11-01 06:00:00,1,NBATV
Dallas Mavericks,Toronto Raptors,2015-11-03 08:30:00,0,Local
Oklahoma City Thunder,Toronto Raptors,2015-11-04 08:00:00,0,Local
Orlando Magic,Toronto Raptors,2015-11-06 07:00:00,0,Local
Miami Heat,Toronto Raptors,2015-11-08 06:00:00,0,Local
Toronto Raptors,New York Knicks,2015-11-10 07:30:00,0,Local
Philadelphia 76Ers,Toronto Raptors,2015-11-11 07:00:00,0,Local
Toronto Raptors,New Orleans Pelicans,2015-11-13 07:30:00,0,Local
Sacramento Kings,Toronto Raptors,2015-11-15 09:00:00,0,Local
Golden State Warriors,Toronto Raptors,2015-11-17 10:30:00,1,NBATV
Utah Jazz,Toronto Raptors,2015-11-18 09:00:00,0,Local
Los Angeles Clippers,Toronto Raptors,2015-11-22 03:30:00,0,Local
Toronto Raptors,Cleveland Cavaliers,2015-11-25 07:30:00,0,Local
Washington Wizards,Toronto Raptors,2015-11-28 07:00:00,0,Local
Toronto Raptors,Phoenix Suns,2015-11-29 06:00:00,0,Local
Atlanta Hawks,Toronto Raptors,2015-12-02 08:00:00,0,Local
Toronto Raptors,Denver Nuggets,2015-12-03 07:30:00,0,Local
Toronto Raptors,Golden State Warriors,2015-12-05 05:00:00,0,Local
Toronto Raptors,San Antonio Spurs,2015-12-09 07:30:00,0,Local
Toronto Raptors,Milwaukee Bucks,2015-12-11 07:30:00,0,Local
Toronto Raptors,Philadelphia 76Ers,2015-12-13 06:00:00,0,Local
Indiana Pacers,Toronto Raptors,2015-12-14 07:00:00,0,Local
Charlotte Hornets,Toronto Raptors,2015-12-17 07:00:00,0,Local
Miami Heat,Toronto Raptors,2015-12-18 07:30:00,0,Local
Toronto Raptors,Sacramento Kings,2015-12-20 06:00:00,0,Local
Toronto Raptors,Dallas Mavericks,2015-12-22 07:30:00,1,NBATV
Milwaukee Bucks,Toronto Raptors,2015-12-26 05:00:00,0,Local
Chicago Bulls,Toronto Raptors,2015-12-28 08:00:00,1,NBATV
Toronto Raptors,Washington Wizards,2015-12-30 07:30:00,1,NBATV
Toronto Raptors,Charlotte Hornets,2016-01-01 07:30:00,0,Local
Toronto Raptors,Chicago Bulls,2016-01-03 03:30:00,0,Local
Cleveland Cavaliers,Toronto Raptors,2016-01-04 07:00:00,0,Local
Washington Wizards,Toronto Raptors,2016-01-08 07:00:00,0,Local
Philadelphia 76Ers,Toronto Raptors,2016-01-09 07:30:00,0,Local
Orlando Magic,Toronto Raptors,2016-01-14 03:00:00,1,NBATV
Toronto Raptors,Boston Celtics,2016-01-20 07:30:00,0,Local
Toronto Raptors,Miami Heat,2016-01-22 08:00:00,1,ESPN
Toronto Raptors,Los Angeles Clippers,2016-01-24 06:00:00,0,Local
Toronto Raptors,Washington Wizards,2016-01-26 07:30:00,1,NBATV
Toronto Raptors,New York Knicks,2016-01-28 08:00:00,1,TNT
Toronto Raptors,Detroit Pistons,2016-01-30 06:30:00,0,Local
Denver Nuggets,Toronto Raptors,2016-02-01 09:00:00,0,Local
Phoenix Suns,Toronto Raptors,2016-02-02 09:00:00,0,Local
Portland Trail Blazers,Toronto Raptors,2016-02-04 10:00:00,0,Local
Detroit Pistons,Toronto Raptors,2016-02-08 07:30:00,0,Local
